player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Gabriel Lundberg,PHX,27.0,193.04,92.079176,4,3.3,1.8,2.8,18.3,0.04,0.119,0.191,0.342,0.268,2021-22
Nicolas Batum,CHA,31.0,205.74,104.32616,22,3.6,4.5,3.0,-3.3,0.049,0.146,0.093,0.4629999999999999,0.173,2019-20
Dewan Hernandez,TOR,23.0,208.28,106.59412,6,2.3,2.3,0.5,17.2,0.172,0.265,0.257,0.432,0.125,2019-20
Rudy Gay,UTA,36.0,203.2,113.398,56,5.2,2.9,1.0,2.9,0.038,0.148,0.174,0.473,0.095,2022-23
Josh Okogie,MIN,20.0,193.04,96.161504,74,7.7,2.9,1.2,-1.0,0.021,0.098,0.148,0.492,0.068,2018-19
Dario Saric,PHX,27.0,208.28,102.0582,50,8.7,3.8,1.3,11.5,0.055,0.168,0.218,0.5670000000000001,0.104,2020-21
Anthony Davis,NOP,26.0,208.28,114.758776,56,25.9,12.0,3.9,3.4,0.089,0.249,0.288,0.597,0.186,2018-19
Devin Booker,PHX,23.0,195.58,93.439952,70,26.6,4.2,6.5,2.7,0.012,0.106,0.294,0.618,0.288,2019-20
Lou Williams,LAC,33.0,185.42,79.3786,65,18.2,3.1,5.6,4.0,0.016,0.081,0.271,0.546,0.294,2019-20
Troy Williams,SAC,24.0,200.66,98.883056,21,5.3,2.8,0.5,-9.5,0.034,0.144,0.144,0.531,0.051,2018-19
Marques Bolden,CLE,23.0,208.28,112.944408,6,1.2,1.0,0.0,12.3,0.083,0.088,0.136,0.537,0.0,2020-21
Kalin Lucas,DET,30.0,185.42,88.45044,1,2.0,3.0,1.0,-25.0,0.0,0.5,0.154,0.532,0.5,2018-19
Doug McDermott,SAS,30.0,200.66,102.0582,51,11.3,2.3,1.3,-1.8,0.0139999999999999,0.076,0.178,0.593,0.068,2021-22
Domantas Sabonis,IND,24.0,210.82,108.86208,62,18.5,12.4,5.0,3.1,0.089,0.262,0.2289999999999999,0.586,0.215,2019-20
Dion Waiters,LAL,28.0,190.5,95.25432,10,11.1,2.4,2.0,7.8,0.009,0.102,0.243,0.521,0.156,2019-20
Melvin Frazier Jr.,OKC,25.0,195.58,97.52228,3,10.7,4.3,0.3,-38.8,0.033,0.072,0.191,0.313,0.013,2021-22
Marial Shayok,PHI,24.0,195.58,89.811216,4,2.8,1.8,0.3,-23.2,0.033,0.1939999999999999,0.243,0.4,0.053,2019-20
Richaun Holmes,PHX,25.0,208.28,106.59412,70,8.2,4.7,0.9,-5.4,0.095,0.173,0.174,0.647,0.0819999999999999,2018-19
Nick Young,DEN,34.0,200.66,95.25432,4,2.3,0.3,0.5,-5.1,0.0,0.026,0.126,0.5,0.077,2018-19
James Harden,HOU,30.0,195.58,99.79024,68,34.3,6.6,7.5,5.8,0.026,0.139,0.356,0.626,0.366,2019-20
Jaren Jackson Jr.,MEM,20.0,210.82,109.769264,57,17.4,4.6,1.4,-2.6,0.033,0.12,0.238,0.593,0.073,2019-20
Jaylen Morris,MIL,23.0,195.58,83.91452,4,2.5,1.3,1.0,22.5,0.0,0.147,0.15,0.46,0.174,2018-19
James Ennis III,ORL,30.0,198.12,97.52228,41,8.4,4.0,1.5,-3.8,0.042,0.123,0.1369999999999999,0.613,0.087,2020-21
Kenneth Lofton Jr.,MEM,20.0,198.12,124.7378,24,5.0,2.1,0.8,-13.4,0.0969999999999999,0.198,0.267,0.5720000000000001,0.198,2022-23
Svi Mykhailiuk,CHA,26.0,200.66,92.98636,32,6.9,1.7,1.7,1.0,0.032,0.079,0.191,0.584,0.1669999999999999,2022-23
Usman Garuba,HOU,21.0,203.2,103.872568,75,3.0,4.1,0.9,-12.2,0.11,0.1939999999999999,0.099,0.569,0.096,2022-23
Dereon Seabron,NOP,23.0,195.58,81.64656,5,0.8,0.2,0.0,36.8,0.067,0.0,0.156,0.4,0.0,2022-23
Patrick McCaw,TOR,25.0,200.66,82.10015200000001,5,1.0,0.6,0.8,-33.0,0.027,0.071,0.026,1.078,0.19,2020-21
R.J. Hampton,DET,22.0,193.04,79.3786,47,6.4,1.9,1.1,-8.7,0.024,0.093,0.175,0.5579999999999999,0.11,2022-23
Kelly Oubre Jr.,PHX,23.0,200.66,92.98636,69,15.2,4.7,1.2,-6.0,0.035,0.126,0.223,0.551,0.067,2018-19
Josh Richardson,SAS,28.0,195.58,90.7184,65,10.2,2.8,1.8,4.5,0.026,0.087,0.171,0.573,0.105,2021-22
Luol Deng,MIN,34.0,205.74,107.501304,22,7.1,3.3,0.8,10.0,0.049,0.125,0.155,0.588,0.062,2018-19
Nassir Little,POR,22.0,195.58,99.79024,42,9.8,5.6,1.3,-0.9,0.052,0.158,0.155,0.575,0.074,2021-22
Raymond Felton,OKC,35.0,185.42,92.98636,33,4.3,1.0,1.6,2.6,0.009,0.074,0.165,0.505,0.209,2018-19
Jeremy Lin,TOR,30.0,190.5,90.7184,74,9.6,2.4,3.1,-5.1,0.0139999999999999,0.102,0.213,0.5579999999999999,0.249,2018-19
Donovan Mitchell,UTA,25.0,185.42,97.52228,67,25.9,4.2,5.3,5.9,0.024,0.096,0.322,0.5720000000000001,0.267,2021-22
Jordan Poole,GSW,23.0,193.04,87.996848,76,18.5,3.4,4.0,6.6,0.015,0.094,0.252,0.598,0.207,2021-22
